,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
149,0.0,0.028333333333333335,0.027499999999999997,0.0,0.02,0.0,0.0,0.01,0.026666666666666665,0.046,0.105
150,0.0,0.01,0.019,0.0,0.005,0.0,0.32,0.006666666666666666,0.55,0.02,0.01
151,0.01,0.0,0.01,0.02,0.04,0.0,0.13,0.0,0.15,0.03,0.01
152,0.0,0.04,0.1,0.0,0.008333333333333333,0.02,0.05,0.01,0.085,0.1,0.0
153,0.02,0.04,0.03,0.01,0.0,0.008333333333333333,0.026666666666666665,0.02,0.02,0.05,0.0
154,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.05,0.0,0.0
155,0.0,0.025,0.016428571428571428,0.0,0.006,0.0,0.0,0.0,0.026000000000000002,0.16916666666666663,0.0
156,0.02,0.06,0.10416666666666669,0.0,0.016666666666666666,0.0,0.04,0.02,0.04333333333333333,0.04,0.026666666666666665
157,0.0,0.0,0.0675,0.0,0.0,0.0,0.03,0.0,0.05,0.03666666666666667,0.015
158,0.0,0.0,0.0425,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0
159,0.0,0.02,0.02,0.0,0.0,0.0,0.05,0.01,0.05,0.06,0.0
160,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.03,0.01,0.005
161,0.0,0.67,0.65,0.0,0.0,0.0,0.04,0.01,0.03,0.58,0.01
162,0.93,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.013333333333333332,0.0,0.0
163,0.02,0.0,0.02,0.0,0.0,0.01,0.05,0.003333333333333333,0.08,0.07,0.01
164,0.62,0.02,0.045,0.0,0.02,0.0,0.0625,0.01,0.0,0.06,0.0
165,0.06,0.046,0.07333333333333333,0.01,0.02166666666666667,0.0,0.0325,0.04,0.055,0.12,0.0
166,0.01,0.02,0.06,0.0,0.02142857142857143,0.03,0.01,0.01,0.07,0.06,0.0
167,0.03,0.03666666666666667,0.04,0.0,0.017083333333333332,0.01,0.013333333333333332,0.03,0.07,0.23916666666666664,0.01
168,0.0,0.0,0.1,0.01,0.12,0.0,0.07,0.0,0.05,0.3,0.0
169,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0
170,0.01,0.02,0.09500000000000001,0.0,0.0,0.01,0.025,0.01,0.125,0.1,0.01
171,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.085,0.1,0.01
172,0.0,0.0,0.09066666666666666,0.0,0.14,0.02,0.02,0.0,0.04,0.25666666666666665,0.02
173,0.0,0.01,0.01,0.0,0.002,0.0,0.0,0.01,0.012857142857142855,0.015,0.0
174,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.18095238095238095,0.0,0.0
175,0.01,0.01,0.016666666666666666,0.0,0.0,0.01,0.01,0.0,0.04,0.6,0.01
176,0.02,0.03916666666666666,0.3258333333333333,0.0,0.0225,0.0,0.006,0.03,0.35,0.11,0.013333333333333332
177,0.01,0.1708333333333333,0.15352380952380953,0.0,0.012,0.01,0.0,0.0,0.03,0.046,0.006666666666666666
178,0.07,0.0,0.03333333333333333,0.0,0.01,0.0,0.0225,0.0,0.09,0.05,0.01
179,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0125
180,0.0,0.005,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.01,0.02,0.0
182,0.0,0.005,0.01,0.01,0.0,0.0,0.025,0.0,0.06,0.02,0.01
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.005
184,0.23,0.03,0.06333333333333334,0.0,0.05,0.01,0.01,0.0,0.0275,0.14666666666666667,0.01
185,0.0,0.09347619047619048,0.11900000000000001,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.055,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.0
189,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333332,0.0,0.03,0.23,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0
191,0.02,0.025,0.07,0.04,0.02,0.0,0.06,0.01,0.06,0.09,0.02333333333333333
192,0.02,0.016,0.03,0.01,0.01,0.13,0.01,0.0,0.19,0.425,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.0
194,0.0,0.1775,0.026666666666666665,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.0
195,0.01,0.03,0.045,0.0,0.02333333333333333,0.016666666666666666,0.045,0.02,0.06142857142857143,0.08333333333333331,0.01
196,0.11,0.06666666666666667,0.075,0.01,0.045,0.02,0.054000000000000006,0.0,0.1675,0.135,0.016666666666666666
197,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0
198,0.27,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.003333333333333333,0.02,0.01
199,0.0,0.0125,0.01,0.0,0.01,0.0,0.06,0.0,0.057999999999999996,0.01,0.0
200,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
201,0.01,0.01,0.046,0.0,0.0225,0.01,0.03,0.01,0.06,0.085,0.02
202,0.33,0.01,0.055,0.0,0.01,0.0,0.0,0.0,0.035,0.06,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.14,0.0,0.0
204,0.0,0.0,0.02,0.0,0.01,0.0,0.011666666666666667,0.01,0.02,0.03,0.0
205,0.02,0.026666666666666665,0.11066666666666665,0.0,0.0,0.01,0.02,0.02,0.04,0.14,0.0
206,0.0,0.6125,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
207,0.05,0.01,0.0665,0.0,0.015,0.0,0.01,0.0,0.055,0.065,0.0
208,0.03,0.013333333333333332,0.21,0.0,0.02,0.0,0.03,0.0,0.0375,0.28,0.01
209,0.11,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.02,0.05,0.0
210,0.0,0.0,0.04,0.0,0.0,0.0025,0.085,0.02,0.06,0.02,0.0
211,0.0,0.145,0.14,0.0,0.0,0.0,0.015,0.0,0.0475,0.04,0.01
212,0.0,0.01,0.0,0.0,0.0,0.0,0.15,0.0,0.55,0.01,0.0
213,0.0,0.0,0.04833333333333334,0.0,0.0,0.0,0.01,0.02,0.01,0.04,0.0
214,0.0,0.0025,0.06,0.0,0.01,0.008333333333333333,0.02,0.0,0.03,0.05,0.0
215,0.01,0.005,0.044000000000000004,0.0,0.008333333333333333,0.0,0.06666666666666667,0.01,0.16,0.06,0.0
216,0.06,0.0,0.0175,0.0,0.02,0.0,0.01,0.02,0.04,0.2,0.0
217,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
218,0.02,0.06533333333333333,0.095,0.01,0.01,0.01,0.05,0.013999999999999999,0.0975,0.065,0.01
219,0.0,0.0,0.025,0.01,0.0,0.0,0.01,0.0,0.0,0.1859761904761905,0.0
220,0.0,0.02,0.0,0.01,0.4781666666666668,0.0,0.01,0.0,0.0,0.4193333333333334,0.4368333333333333
221,0.0,0.01,0.025,0.0,0.0,0.0,0.04733333333333333,0.0,0.05,0.11,0.01
222,0.01,0.03,0.055999999999999994,0.0,0.003333333333333333,0.0,0.13,0.0,0.2533333333333333,0.045,0.0
223,0.0,0.04333333333333333,0.083,0.01,0.015,0.01,0.025,0.01,0.09999999999999998,0.12666666666666665,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.18,0.02,0.0
225,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02333333333333333,0.03,0.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.25,0.02,0.01
227,0.04,0.07,0.016666666666666666,0.02,0.27,0.02,0.0,0.01,0.02,0.08,0.0
228,0.0,0.0,0.02,0.0,0.0,0.0,0.105,0.0,0.15,0.0,0.0
229,0.01,0.01,0.03833333333333333,0.0,0.0,0.0,0.02,0.02,0.01,0.04,0.0
230,0.0,0.02,0.05,0.01,0.011666666666666667,0.0,0.09333333333333332,0.01,0.305,0.05,0.0
231,0.05,0.035,0.0775,0.01,0.01,0.03,0.04,0.0,0.10166666666666668,0.1,0.0
232,0.0,0.04683333333333334,0.046000000000000006,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.01
233,0.0,0.0,0.36,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.0
234,0.0,0.08,0.1125,0.0,0.01,0.0,0.025,0.01,0.023333333333333334,0.035,0.0
235,0.0,0.01,0.03,0.0,0.0,0.0,0.02,0.01,0.07,0.03,0.01
236,0.0,0.17833333333333334,0.14,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.0
238,0.01,0.05,0.044000000000000004,0.0,0.0,0.0,0.015,0.03,0.1575,0.09,0.005
239,0.02,0.0,0.03666666666666667,0.01,0.0,0.005,0.02,0.01,0.03,0.11,0.019166666666666665
240,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0
241,0.0,0.02,0.03,0.0,0.0,0.01,0.04,0.0,0.05,0.02,0.01
242,0.0,0.04428571428571429,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0
243,0.03,0.075,0.075,0.0,0.02,0.01,0.07,0.01,0.09333333333333332,0.09,0.0225
244,0.0,0.01,0.67,0.0,0.0,0.01,0.02,0.0,0.06,0.0,0.0
245,0.01,0.04,0.07666666666666666,0.01,0.0,0.0,0.07200000000000001,0.005,0.035,0.165,0.0
246,0.03,0.0,0.0725,0.01,0.032,0.0,0.03,0.01,0.08,0.13,0.006666666666666666
247,0.03,0.02,0.04,0.0,0.02,0.0,0.08333333333333334,0.0,0.12,0.03,0.01
248,0.0,0.03,0.2125,0.0,0.0,0.0,0.006666666666666666,0.025,0.01,0.01,0.02
249,0.85,0.04,0.055,0.0,0.01,0.02,0.006666666666666666,0.0,0.05,0.044000000000000004,0.01
250,0.0,0.02,0.02333333333333333,0.0,0.0,0.0,0.015,0.01,0.05,0.02,0.0
251,0.0,0.23,0.125,0.0,0.0,0.01,0.01,0.0,0.04,0.2175,0.0
252,0.05,0.055,0.11,0.01,0.025,0.015,0.0325,0.03,0.055999999999999994,0.27,0.03083333333333333
253,0.0,0.015,0.06,0.0,0.0,0.0,0.02,0.01,0.11,0.07,0.01
254,0.0,0.01,0.0,0.0,0.0,0.0,0.0625,0.0,0.05,0.03,0.0
255,0.03,0.025,0.0225,0.01,0.01,0.005,0.03,0.005,0.065,0.19666666666666668,0.0
256,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0
257,0.0,0.002857142857142857,0.51,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01
258,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
259,0.91,0.01,0.0175,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.03,0.0,0.0
261,0.0,0.0,0.015,0.0,0.0,0.01,0.06,0.01,0.1,0.03,0.02
262,0.0,0.005,0.028999999999999998,0.0,0.0,0.0,0.02,0.0,0.01,0.008333333333333333,0.0
263,0.01,0.02,0.02,0.0,0.0,0.0,0.64,0.0,0.105,0.03,0.0
264,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.01,0.13,0.03,0.0
265,0.0,0.42,0.03,0.0,0.01,0.0,0.005,0.0,0.04,0.004,0.0
266,0.0,0.02,0.05,0.0,0.0,0.01,0.03,0.01,0.066,0.1433333333333333,0.0
267,0.01,0.02,0.02,0.0,0.01,0.0,0.01,0.0,0.09,0.03333333333333333,0.0
268,0.0,0.03333333333333333,0.035,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.01,0.0,0.0
270,0.05,0.0,0.02,0.0,0.0,0.01,0.01,0.015,0.0,0.05,0.0
271,0.01,0.02,0.01,0.0,0.012,0.0,0.01,0.0,0.03,0.04333333333333334,0.0
272,0.0,0.03,0.028333333333333335,0.0,0.0,0.015,0.07,0.0,0.025,0.02,0.02
273,0.03,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.027999999999999997,0.08,0.0
274,0.0,0.03333333333333333,0.04,0.0,0.03,0.01,0.03,0.0,0.028666666666666667,0.045,0.005
