file_id,cell_line
3596,HEK 293
2625,CACO-2
8510,MCF7
7588,U-2 OS
5775,PC-3
3520,U-251 MG
5950,U-251 MG
1422,RT4
600,HEK 293
6545,PC-3
2849,A549
1443,U-2 OS
8342,CACO-2
4409,PC-3
8470,RT4
8516,U-2 OS
6690,A549
1525,RT4
2963,HEK 293
8528,HeLa
4293,MCF7
5151,RT4
2358,MCF7
4914,CACO-2
3649,MCF7
6631,RT4
2616,RT4
1738,RT4
5515,MCF7
773,RT4
1420,CACO-2
4963,A549
7253,HEK 293
9498,HeLa
4133,RT4
1226,HeLa
2243,RT4
2434,HEK 293
4541,MCF7
6297,U-251 MG
1748,U-2 OS
5167,PC-3
3452,RT4
5757,HEK 293
5081,RT4
8801,CACO-2
3556,PC-3
5263,U-251 MG
2561,HEK 293
7046,RT4
1489,HEK 293
3438,HeLa
9093,CACO-2
4343,A549
4717,MCF7
4843,PC-3
1483,HEK 293
4258,RT4
126,RT4
5980,U-251 MG
3776,RT4
2650,MCF7
2758,A549
3112,MCF7
5099,RT4
9205,MCF7
3957,CACO-2
9232,RT4
4489,HeLa
2101,U-2 OS
8358,RT4
6759,A549
9547,U-2 OS
8937,MCF7
5337,HEK 293
6519,MCF7
3183,RT4
4922,RT4
4061,RT4
2005,HeLa
9198,HEK 293
3737,HEK 293
2780,HeLa
3581,RT4
6119,U-2 OS
7559,U-2 OS
662,MCF7
5862,RT4
1309,A549
6740,RT4
891,U-251 MG
4596,RT4
8332,U-251 MG
9384,RT4
6095,U-251 MG
8731,HEK 293
5048,RT4
9095,A549
7315,RT4
5273,HEK 293
5456,U-2 OS
9458,U-2 OS
9463,CACO-2
4278,CACO-2
5463,U-251 MG
982,HEK 293
5800,MCF7
6772,HeLa
3395,RT4
3150,HEK 293
5889,HEK 293
7270,A549
811,CACO-2
7454,RT4
364,RT4
4590,MCF7
6089,HeLa
6625,RT4
3026,HEK 293
4211,MCF7
4298,PC-3
2235,CACO-2
9546,MCF7
6843,CACO-2
8717,HEK 293
1133,MCF7
4404,MCF7
2160,U-2 OS
7505,A549
8272,CACO-2
2897,U-2 OS
4161,RT4
1024,CACO-2
5627,U-251 MG
5973,RT4
3868,RT4
9507,PC-3
5372,HEK 293
397,CACO-2
7193,RT4
8512,U-2 OS
6172,U-251 MG
6282,MCF7
686,HEK 293
9303,HEK 293
3724,RT4
2859,CACO-2
1318,HEK 293
6083,A549
4381,A549
2910,RT4
8628,U-2 OS
3528,U-2 OS
1933,U-2 OS
2662,U-251 MG
6734,RT4
6569,CACO-2
8625,RT4
6468,U-251 MG
2122,CACO-2
5203,U-251 MG
6508,CACO-2
8822,RT4
7093,RT4
624,RT4
6430,RT4
1830,HEK 293
7089,HeLa
3738,CACO-2
4966,HEK 293
8756,A549
2500,U-2 OS
5319,CACO-2
4931,RT4
8972,HEK 293
5036,RT4
4243,CACO-2
853,CACO-2
3160,U-2 OS
2795,A549
5650,U-2 OS
5491,RT4
9049,HEK 293
1441,MCF7
8839,PC-3
1376,RT4
1852,RT4
4889,HEK 293
5342,PC-3
2961,HeLa
8003,HEK 293
9119,RT4
654,CACO-2
8046,MCF7
7935,RT4
5083,HEK 293
8411,MCF7
7383,HEK 293
9374,CACO-2
1930,U-251 MG
4468,HeLa
595,CACO-2
6047,RT4
1181,A549
5502,HeLa
6869,A549
7947,HEK 293
5104,HeLa
2882,HEK 293
1667,HeLa
9086,HEK 293
6710,RT4
8815,RT4
8108,RT4
3767,MCF7
5726,CACO-2
1734,HEK 293
3036,CACO-2
8946,HEK 293
8391,MCF7
3901,HEK 293
4442,MCF7
7687,RT4
6381,MCF7
2504,HEK 293
6248,PC-3
1803,U-2 OS
9101,HeLa
5825,U-2 OS
3788,MCF7
4308,CACO-2
2424,MCF7
5657,CACO-2
1239,MCF7
462,RT4
3603,RT4
4046,CACO-2
5585,U-2 OS
1826,CACO-2
1209,U-2 OS
5672,RT4
9563,CACO-2
4035,RT4
7246,HeLa
4529,U-251 MG
4013,PC-3
7381,U-251 MG
1616,MCF7
8167,MCF7
1342,CACO-2
5812,MCF7
3921,U-251 MG
6197,MCF7
4622,A549
666,U-2 OS
2310,RT4
3447,HeLa
7930,RT4
8438,HEK 293
5487,RT4
3864,RT4
4862,CACO-2
2337,PC-3
8956,MCF7
3631,HeLa
1409,HeLa
1411,MCF7
351,CACO-2
6911,HEK 293
7238,U-251 MG
915,RT4
3471,CACO-2
1838,RT4
2793,CACO-2
4803,RT4
5829,U-251 MG
938,MCF7
7139,RT4
3795,HEK 293
7739,CACO-2
1967,CACO-2
9439,U-2 OS
7329,CACO-2
8493,HeLa
8722,CACO-2
363,HEK 293
6494,PC-3
1747,U-2 OS
7437,U-251 MG
9401,HEK 293
4900,A549
420,MCF7
227,U-251 MG
9397,RT4
3830,MCF7
979,U-2 OS
6360,PC-3
621,MCF7
5766,RT4
6366,RT4
4200,CACO-2
5731,RT4
6629,RT4
9029,A549
4647,HeLa
4,RT4
5366,RT4
783,HEK 293
8806,U-251 MG
189,HEK 293
7703,RT4
6471,RT4
3763,HEK 293
8563,HeLa
310,U-2 OS
8860,RT4
6434,HEK 293
3916,CACO-2
63,HEK 293
2369,HEK 293
374,CACO-2
7866,HEK 293
2663,U-2 OS
483,PC-3
7656,MCF7
6880,U-251 MG
4471,CACO-2
912,MCF7
1051,CACO-2
3284,MCF7
267,U-251 MG
6873,U-251 MG
2981,U-2 OS
1248,CACO-2
7043,CACO-2
1991,MCF7
1561,HEK 293
9470,CACO-2
9544,CACO-2
6748,HeLa
7228,CACO-2
5751,HeLa
468,PC-3
3665,HeLa
6088,HEK 293
6559,CACO-2
2659,U-251 MG
1056,MCF7
1536,U-251 MG
1132,U-251 MG
6737,CACO-2
2587,CACO-2
43,U-2 OS
7201,RT4
2827,PC-3
4519,PC-3
2190,HeLa
7984,U-2 OS
4675,HeLa
6195,RT4
6149,CACO-2
6484,CACO-2
7836,RT4
9314,U-2 OS
1788,U-2 OS
3744,MCF7
1419,A549
5756,CACO-2
9253,HEK 293
1452,RT4
5536,CACO-2
2470,A549
1440,HeLa
5331,U-251 MG
4303,U-2 OS
3634,MCF7
7226,U-2 OS
1579,CACO-2
3890,HEK 293
2326,MCF7
175,HeLa
2020,CACO-2
6989,U-2 OS
1541,U-2 OS
7455,RT4
867,U-2 OS
8877,A549
3569,A549
127,U-251 MG
1121,PC-3
4793,U-2 OS
5417,PC-3
6393,HEK 293
9516,CACO-2
7966,U-251 MG
7851,RT4
7031,MCF7
8117,CACO-2
6170,CACO-2
8530,CACO-2
2866,PC-3
3845,CACO-2
1876,HeLa
639,MCF7
1031,RT4
1801,RT4
3663,A549
3698,RT4
8962,U-251 MG
2161,RT4
1084,U-251 MG
5966,HEK 293
705,U-2 OS
6000,RT4
8472,MCF7
4309,HEK 293
1407,U-251 MG
2498,RT4
7957,MCF7
3451,MCF7
4754,RT4
3889,U-251 MG
2272,A549
9380,RT4
324,CACO-2
471,RT4
5059,CACO-2
2116,CACO-2
1726,U-251 MG
9131,A549
8000,MCF7
9396,U-251 MG
8960,U-251 MG
2088,RT4
1724,HEK 293
211,U-251 MG
2690,RT4
9005,U-251 MG
5821,MCF7
7428,CACO-2
5156,CACO-2
5258,U-2 OS
5232,RT4
9013,RT4
5204,CACO-2
3430,HEK 293
3513,CACO-2
6617,RT4
6786,HEK 293
4727,HeLa
8549,RT4
3223,PC-3
3779,U-2 OS
3094,U-2 OS
4814,RT4
5789,HEK 293
6267,HEK 293
3821,RT4
7355,A549
7987,RT4
1720,CACO-2
3041,CACO-2
7231,A549
8005,MCF7
3510,MCF7
8933,RT4
4516,CACO-2
118,HeLa
7821,HeLa
1889,RT4
5009,A549
182,CACO-2
3766,U-251 MG
4491,RT4
86,PC-3
8048,RT4
1521,CACO-2
5195,PC-3
7650,U-2 OS
2640,RT4
1373,RT4
6167,RT4
3526,U-251 MG
7372,RT4
6654,MCF7
5447,CACO-2
6109,U-251 MG
3655,HEK 293
2536,HeLa
2804,CACO-2
5281,PC-3
9279,HEK 293
6310,RT4
9402,HEK 293
3181,MCF7
8265,U-2 OS
3332,PC-3
8103,CACO-2
7976,A549
1236,A549
4406,PC-3
1677,MCF7
3095,U-2 OS
48,MCF7
3898,U-2 OS
5371,CACO-2
4535,CACO-2
7158,HEK 293
5329,U-2 OS
5590,HEK 293
124,A549
8793,HeLa
5639,CACO-2
2356,HEK 293
4346,MCF7
8568,RT4
1016,HEK 293
5987,A549
6831,MCF7
4168,HEK 293
3608,RT4
7852,CACO-2
3790,HEK 293
4193,CACO-2
2346,HEK 293
6757,U-2 OS
9448,MCF7
7785,U-251 MG
5532,CACO-2
7448,HeLa
1216,HEK 293
1774,HEK 293
7204,A549
1769,U-2 OS
5611,MCF7
7768,HEK 293
3549,A549
7574,HeLa
7337,RT4
3555,U-251 MG
7191,U-251 MG
1939,RT4
6329,PC-3
1596,U-251 MG
4242,RT4
3824,CACO-2
4995,RT4
984,U-251 MG
7077,HEK 293
7673,HEK 293
6488,RT4
2753,HEK 293
9310,RT4
6284,RT4
1580,MCF7
2843,U-251 MG
2042,U-2 OS
6582,A549
6417,RT4
4526,RT4
434,RT4
2613,PC-3
6886,RT4
3494,MCF7
7036,MCF7
7224,HEK 293
7993,HeLa
7994,RT4
9173,PC-3
4344,RT4
9275,U-251 MG
7542,MCF7
3421,CACO-2
7474,CACO-2
6126,RT4
2184,CACO-2
7870,MCF7
8987,U-2 OS
100,HEK 293
4380,RT4
2309,U-251 MG
8196,CACO-2
3833,HeLa
5832,PC-3
5106,CACO-2
8764,CACO-2
1687,HEK 293
975,MCF7
7482,HEK 293
2276,HEK 293
1837,A549
3668,U-251 MG
6983,MCF7
1635,HEK 293
9441,CACO-2
4182,U-251 MG
8487,RT4
9543,HEK 293
3642,CACO-2
562,HeLa
837,CACO-2
7550,HeLa
5041,CACO-2
6718,U-251 MG
6882,U-2 OS
1542,HeLa
3561,U-2 OS
6481,U-2 OS
477,PC-3
9156,U-251 MG
5494,HEK 293
2198,U-251 MG
6533,CACO-2
6709,CACO-2
2681,HEK 293
1457,PC-3
2061,HeLa
2887,CACO-2
2723,RT4
5474,HeLa
4005,RT4
3629,RT4
5339,MCF7
6397,MCF7
2474,A549
1137,HEK 293
7122,PC-3
2151,RT4
8174,A549
1415,HEK 293
1818,HEK 293
4390,PC-3
8688,U-2 OS
1340,U-251 MG
7770,CACO-2
3194,U-251 MG
2014,RT4
5565,MCF7
5466,RT4
1390,U-251 MG
4749,U-251 MG
4580,U-251 MG
1049,RT4
3872,RT4
7104,RT4
830,CACO-2
9611,A549
3595,U-2 OS
6113,U-2 OS
321,PC-3
6656,HEK 293
547,MCF7
9337,RT4
1403,U-251 MG
7744,RT4
4838,RT4
8583,MCF7
7384,CACO-2
7612,RT4
8218,U-251 MG
1974,PC-3
2894,HEK 293
6697,PC-3
7613,MCF7
340,HEK 293
5193,HEK 293
7793,HEK 293
9291,HEK 293
818,CACO-2
6821,CACO-2
5437,RT4
8072,RT4
5988,U-251 MG
9167,MCF7
3222,CACO-2
2242,MCF7
6814,RT4
2022,U-2 OS
1383,MCF7
6731,CACO-2
8668,MCF7
5198,A549
7149,HEK 293
9604,PC-3
4759,A549
4107,CACO-2
7995,A549
449,HeLa
8250,HeLa
3029,PC-3
7196,CACO-2
7108,PC-3
538,HEK 293
2574,HEK 293
2218,RT4
6635,HeLa
4842,MCF7
6979,PC-3
7325,PC-3
7506,RT4
5840,CACO-2
7879,HEK 293
1654,CACO-2
8602,CACO-2
1271,RT4
1425,CACO-2
2401,HEK 293
1972,HEK 293
7573,U-2 OS
6689,HeLa
2144,PC-3
2903,RT4
2219,U-251 MG
8831,CACO-2
2805,CACO-2
3837,HEK 293
552,U-251 MG
6848,U-251 MG
2552,A549
2200,CACO-2
4770,MCF7
5621,U-2 OS
8600,RT4
1444,HEK 293
410,MCF7
8143,MCF7
68,RT4
4531,MCF7
8533,CACO-2
6887,HeLa
8617,MCF7
479,PC-3
1776,PC-3
5192,HeLa
5753,MCF7
5352,RT4
8774,CACO-2
2311,HeLa
1934,CACO-2
7892,CACO-2
1859,HEK 293
3483,HEK 293
3321,U-2 OS
6324,HEK 293
8110,RT4
6507,RT4
3645,U-251 MG
7872,RT4
5934,CACO-2
9372,U-251 MG
1639,PC-3
9269,RT4
8280,CACO-2
6677,RT4
6732,CACO-2
744,U-251 MG
7123,MCF7
1172,CACO-2
4559,RT4
2248,RT4
3867,PC-3
8518,RT4
4975,CACO-2
9072,A549
8016,CACO-2
6401,CACO-2
8351,HeLa
7823,HeLa
9008,RT4
3825,HeLa
3006,U-2 OS
2090,HEK 293
4635,U-2 OS
6846,RT4
146,CACO-2
2784,HEK 293
8435,RT4
3577,MCF7
8695,RT4
8821,CACO-2
6598,A549
2680,RT4
4511,HeLa
4134,CACO-2
1560,U-2 OS
167,U-251 MG
928,RT4
5533,HEK 293
5261,CACO-2
7794,PC-3
9180,HeLa
2976,HeLa
1323,MCF7
2580,CACO-2
7420,U-2 OS
843,U-251 MG
4281,CACO-2
3838,HeLa
8322,RT4
8970,HEK 293
1060,HeLa
2691,RT4
4246,CACO-2
5946,MCF7
1252,CACO-2
7630,PC-3
9056,U-251 MG
1781,CACO-2
5844,MCF7
5423,HeLa
9224,RT4
2572,CACO-2
6845,PC-3
5498,RT4
8699,MCF7
8875,HEK 293
6277,U-2 OS
3722,HeLa
5839,CACO-2
6607,RT4
7782,RT4
7629,CACO-2
1365,HEK 293
5441,RT4
3267,HEK 293
3554,RT4
8168,RT4
7402,CACO-2
4567,HEK 293
8856,HeLa
2880,RT4
4990,MCF7
9535,MCF7
217,HEK 293
9323,U-251 MG
2402,RT4
1998,U-2 OS
9608,MCF7
8314,U-2 OS
8415,U-2 OS
5982,CACO-2
6223,CACO-2
9274,U-2 OS
7445,RT4
513,CACO-2
4333,U-251 MG
7406,A549
9571,HEK 293
6974,PC-3
6274,MCF7
9491,CACO-2
6382,HeLa
3134,U-251 MG
2655,CACO-2
1907,RT4
1280,RT4
3358,MCF7
7702,HEK 293
1790,CACO-2
6708,A549
3288,RT4
1485,HEK 293
3278,A549
8673,RT4
6175,U-2 OS
762,RT4
2365,U-2 OS
5661,PC-3
4703,RT4
370,RT4
9472,HEK 293
2079,U-2 OS
145,MCF7
2002,RT4
6405,RT4
5712,RT4
4644,HEK 293
3490,U-251 MG
2917,MCF7
8037,CACO-2
3228,RT4
8605,HeLa
8749,HeLa
2386,RT4
6174,U-251 MG
9053,RT4
5458,PC-3
4943,RT4
107,A549
104,MCF7
1773,MCF7
6827,A549
408,PC-3
5361,U-2 OS
5455,HEK 293
5320,HeLa
885,PC-3
9058,U-251 MG
5090,HEK 293
7378,HEK 293
9354,RT4
355,RT4
2340,CACO-2
1434,U-251 MG
7413,CACO-2
4892,U-251 MG
3161,HEK 293
272,RT4
9110,U-251 MG
2807,CACO-2
6053,U-2 OS
4777,A549
4670,CACO-2
180,CACO-2
7972,HEK 293
1851,RT4
944,U-251 MG
1566,MCF7
3829,U-2 OS
6647,HEK 293
4377,RT4
5642,CACO-2
385,U-2 OS
7269,RT4
4773,MCF7
4234,HEK 293
3040,MCF7
3070,U-2 OS
675,RT4
7968,MCF7
6220,U-251 MG
2193,HEK 293
7825,MCF7
8092,U-2 OS
4216,HEK 293
2515,RT4
154,CACO-2
7478,RT4
7512,U-2 OS
2523,RT4
7831,MCF7
5558,HEK 293
3345,RT4
3884,U-2 OS
9097,RT4
6199,PC-3
9552,U-2 OS
2382,CACO-2
3678,CACO-2
8222,RT4
5017,CACO-2
5078,PC-3
1883,RT4
6720,A549
4446,PC-3
7515,CACO-2
632,RT4
3268,RT4
5740,U-251 MG
257,MCF7
6570,U-251 MG
3715,CACO-2
4421,CACO-2
4651,A549
9118,HEK 293
2481,HEK 293
1178,HEK 293
9179,U-251 MG
8387,HEK 293
4031,A549
7243,RT4
3113,RT4
1514,PC-3
704,U-251 MG
8783,U-251 MG
4473,HeLa
3514,RT4
8051,MCF7
7939,CACO-2
9245,U-251 MG
7896,U-251 MG
4362,RT4
3765,RT4
216,RT4
723,CACO-2
725,HEK 293
7151,HEK 293
7708,HEK 293
178,RT4
6939,HeLa
741,CACO-2
6202,CACO-2
2473,HEK 293
1913,U-2 OS
549,U-2 OS
3077,U-251 MG
4646,A549
1812,A549
3251,U-251 MG
2741,RT4
3543,HEK 293
6378,HEK 293
5765,A549
617,U-2 OS
9513,PC-3
892,U-251 MG
7364,A549
3439,U-2 OS
8310,U-2 OS
7363,HEK 293
8781,U-251 MG
849,PC-3
7102,A549
7165,RT4
1995,HEK 293
7644,A549
2250,HeLa
1459,RT4
5357,RT4
2451,U-251 MG
7039,PC-3
5748,RT4
5667,PC-3
1869,RT4
9387,HEK 293
285,HEK 293
3402,RT4
3961,RT4
6735,MCF7
9621,HEK 293
3690,A549
2416,HEK 293
9584,RT4
2901,PC-3
4632,MCF7
2958,HEK 293
147,HeLa
6610,HEK 293
4684,RT4
5908,HEK 293
2104,HEK 293
4741,MCF7
3870,HEK 293
7128,HeLa
6815,U-2 OS
9117,CACO-2
6798,RT4
158,A549
3034,RT4
4297,U-2 OS
865,RT4
9238,MCF7
6691,U-2 OS
4944,HEK 293
39,RT4
327,RT4
8961,U-251 MG
465,RT4
8418,HeLa
8020,CACO-2
7034,HEK 293
6716,HeLa
2900,CACO-2
4819,A549
5224,RT4
3380,HEK 293
152,MCF7
8496,MCF7
292,RT4
2618,U-251 MG
3453,HEK 293
1080,RT4
8113,PC-3
3404,U-2 OS
2516,U-251 MG
569,RT4
5262,MCF7
3099,MCF7
5229,RT4
3082,RT4
5121,HEK 293
2024,HEK 293
7045,MCF7
6270,HEK 293
6260,HEK 293
1107,CACO-2
3733,U-251 MG
91,HeLa
4982,U-251 MG
4965,HeLa
4130,HEK 293
6679,PC-3
2414,PC-3
453,HEK 293
8769,HeLa
8426,RT4
526,MCF7
4383,HEK 293
6504,RT4
7709,HeLa
360,PC-3
7627,A549
7746,RT4
6842,HeLa
3434,U-2 OS
9164,RT4
7884,RT4
23,CACO-2
6652,HeLa
8570,RT4
164,RT4
1948,CACO-2
469,U-251 MG
1848,HeLa
8684,HEK 293
6057,CACO-2
1046,HEK 293
9351,MCF7
636,U-2 OS
749,MCF7
4930,CACO-2
1658,U-2 OS
2974,CACO-2
8297,MCF7
1413,CACO-2
5886,U-2 OS
5852,MCF7
859,U-251 MG
4711,MCF7
2893,PC-3
2132,CACO-2
4637,CACO-2
6566,HEK 293
7645,RT4
4903,MCF7
2153,HEK 293
4810,A549
1190,PC-3
2846,U-251 MG
6246,HEK 293
160,CACO-2
2384,U-2 OS
1987,CACO-2
8899,PC-3
8163,U-2 OS
6038,U-2 OS
4633,PC-3
7682,A549
2969,RT4
5863,MCF7
9487,CACO-2
1242,MCF7
2526,MCF7
574,MCF7
8066,U-2 OS
4356,RT4
4607,U-251 MG
1666,HeLa
3761,A549
5662,CACO-2
6819,U-251 MG
8513,HEK 293
5802,CACO-2
7519,CACO-2
1583,A549
2475,HEK 293
7518,MCF7
3171,RT4
4037,RT4
1877,U-251 MG
2541,RT4
1077,U-251 MG
9211,CACO-2
2577,CACO-2
8697,MCF7
99,A549
3220,PC-3
2683,HEK 293
143,RT4
7369,U-2 OS
5786,RT4
8811,RT4
8466,U-2 OS
6141,CACO-2
2059,MCF7
3197,HeLa
341,CACO-2
2131,U-2 OS
6421,U-251 MG
66,RT4
5444,RT4
2256,PC-3
8755,RT4
2851,RT4
3393,RT4
6013,RT4
2142,CACO-2
5513,HeLa
7019,MCF7
7395,HEK 293
5673,HeLa
6498,HEK 293
480,MCF7
6444,U-251 MG
4300,HEK 293
4203,RT4
8576,HEK 293
6120,MCF7
5495,CACO-2
7812,U-2 OS
19,CACO-2
9364,A549
4595,RT4
7503,U-251 MG
7720,HEK 293
6621,MCF7
1472,CACO-2
7804,A549
1071,CACO-2
9060,RT4
4920,HEK 293
1510,RT4
9533,MCF7
6022,RT4
2015,PC-3
927,RT4
8826,PC-3
3934,MCF7
1079,MCF7
1364,U-251 MG
3071,MCF7
2825,RT4
9141,CACO-2
7961,HeLa
9265,A549
6315,U-251 MG
9405,RT4
4612,U-2 OS
375,RT4
3863,CACO-2
6934,PC-3
251,RT4
8073,MCF7
4507,A549
7374,U-2 OS
8291,PC-3
113,CACO-2
3178,RT4
3240,RT4
8400,MCF7
7811,RT4
6715,U-251 MG
5670,HEK 293
6500,MCF7
1311,U-251 MG
2636,PC-3
7488,HEK 293
578,HEK 293
9446,A549
874,U-251 MG
3714,RT4
3509,U-2 OS
6666,HeLa
1581,PC-3
868,HEK 293
7160,RT4
9220,U-2 OS
7536,U-251 MG
5999,A549
3983,CACO-2
6787,CACO-2
7913,HeLa
5300,HeLa
9160,MCF7
1286,HEK 293
9073,U-251 MG
2930,HeLa
7143,CACO-2
5123,PC-3
1249,HeLa
3914,CACO-2
1306,U-2 OS
6341,HeLa
8049,RT4
2688,RT4
9300,U-251 MG
3202,RT4
139,RT4
2566,CACO-2
7873,A549
8849,MCF7
7932,RT4
5464,HEK 293
9076,U-2 OS
8039,PC-3
3313,CACO-2
5248,A549
5669,RT4
1553,MCF7
5730,HEK 293
2991,CACO-2
4639,A549
8485,A549
4597,U-2 OS
3623,PC-3
3253,MCF7
6460,CACO-2
9298,U-251 MG
2519,RT4
8519,HeLa
4223,MCF7
909,MCF7
5073,MCF7
523,U-251 MG
5998,RT4
6920,HeLa
7997,HEK 293
5793,U-2 OS
4905,RT4
7400,RT4
7819,PC-3
4136,A549
6280,A549
2141,HEK 293
5235,U-251 MG
2860,MCF7
7457,RT4
7403,HeLa
6503,CACO-2
5461,U-2 OS
5811,CACO-2
9136,PC-3
3086,CACO-2
7266,U-2 OS
7157,CACO-2
4663,RT4
4710,RT4
943,CACO-2
1414,HeLa
3292,U-251 MG
9542,HEK 293
8200,A549
8058,RT4
9217,A549
3115,HeLa
7100,HeLa
6004,U-251 MG
2940,RT4
5011,PC-3
4848,A549
2746,CACO-2
6985,U-2 OS
9063,RT4
4733,RT4
4902,A549
2415,MCF7
4515,CACO-2
6648,A549
4616,U-251 MG
2539,A549
2844,MCF7
6723,CACO-2
1906,U-251 MG
1641,U-251 MG
5992,HeLa
5824,MCF7
7942,U-251 MG
5283,HEK 293
8653,MCF7
8383,RT4
5212,CACO-2
7783,U-2 OS
7024,MCF7
7776,A549
6232,HEK 293
5284,HEK 293
5267,PC-3
3242,A549
3446,RT4
568,HEK 293
816,MCF7
2437,U-2 OS
316,MCF7
1740,RT4
3704,RT4
90,U-251 MG
5795,MCF7
1463,U-251 MG
7922,RT4
1292,RT4
1426,HEK 293
3881,A549
9069,U-251 MG
4553,HeLa
3083,RT4
3478,U-251 MG
899,PC-3
5432,RT4
6273,U-2 OS
9202,HEK 293
2985,RT4
5238,RT4
4009,U-2 OS
622,U-251 MG
1362,MCF7
7780,MCF7
9149,MCF7
303,PC-3
1951,RT4
1165,A549
6707,U-2 OS
835,HeLa
8949,U-251 MG
1870,MCF7
3874,PC-3
653,HEK 293
2436,CACO-2
2321,RT4
1113,RT4
8627,HEK 293
2031,RT4
5996,RT4
2987,A549
8093,HEK 293
1831,MCF7
7944,HeLa
4056,PC-3
4083,CACO-2
9172,CACO-2
4160,HeLa
6027,RT4
7434,RT4
963,HEK 293
7291,HEK 293
8371,U-2 OS
3799,RT4
3291,HEK 293
